rep1	rep2	rep3
ENSMUSG00000103716	6.74903878590035	11.774631105082	13.2368157720781
ENSMUSG00000103548	1.12483979765006	0	0
ENSMUSG00000103760	2.24967959530012	5.35210504776456	2.48190295726465
ENSMUSG00000103997	0	0	0
ENSMUSG00000077231	0	0	0
ENSMUSG00000104417	0	0	0
ENSMUSG00000064601	0	0	0
ENSMUSG00000101714	0	0	0
ENSMUSG00000102531	0	0	0
ENSMUSG00000103096	0	0	0
ENSMUSG00000102279	0	1.07042100955291	1.65460197150977
ENSMUSG00000103708	100.110741990855	80.2815757164684	86.0393025185078
ENSMUSG00000104201	15.7477571671008	29.9717882674815	23.1644276011367
ENSMUSG00000102434	3.37451939295018	0	4.13650492877441
ENSMUSG00000045216	7913.24797646816	7628.8905350836	7680.66235174833
ENSMUSG00000104523	0	0	0
ENSMUSG00000102202	20.2471163577011	18.1971571623995	22.3371266153818
ENSMUSG00000037470	21307.8402868851	21151.5191487655	21213.6518767267
ENSMUSG00000098752	0	0	1.65460197150977
ENSMUSG00000047180	16.8725969647509	20.3379991815053	13.2368157720781
ENSMUSG00000037447	637.784165267583	581.238608187231	553.464359470017
ENSMUSG00000102762	6.74903878590035	0	3.30920394301953
ENSMUSG00000010453	4440.86752112243	4518.24708132284	4513.75417827864
ENSMUSG00000098680	0	0	0
ENSMUSG00000037432	164.226610456909	123.098416098585	144.777672507104
ENSMUSG00000001143	1509.53500844638	1476.11057217347	1464.32274478614
ENSMUSG00000037408	296.957706579616	297.577040655709	304.446762757797
ENSMUSG00000104316	4.49935919060024	2.14084201910582	3.30920394301953
ENSMUSG00000106081	0	0	0
ENSMUSG00000001138	1622.01898821139	1665.57509086433	1686.03940896845
ENSMUSG00000102845	0	0	0
ENSMUSG00000067653	21.3719561553511	19.2675781719524	28.128233515666
ENSMUSG00000109510	0	0	0
ENSMUSG00000079610	223.843119732362	263.323568350016	263.081713470053
ENSMUSG00000026121	221.593440137062	267.605252388228	258.945208541278
ENSMUSG00000087589	29.2458347389015	29.9717882674815	27.3009325299111
ENSMUSG00000046337	1429.67138281322	1403.32194352387	1508.16969703115
ENSMUSG00000089906	5.62419898825029	2.14084201910582	3.30920394301953
ENSMUSG00000077939	0	2.14084201910582	0
ENSMUSG00000061518	4573.59861724514	4597.45823602976	5069.70044070592
ENSMUSG00000037351	6713.04391237555	6901.00424858762	7129.67989523558
ENSMUSG00000102416	2.24967959530012	1.07042100955291	2.48190295726465
ENSMUSG00000104237	1.12483979765006	3.21126302865873	1.65460197150977
ENSMUSG00000026117	151.853372682758	159.492730423384	145.604973492859
ENSMUSG00000097291	2.24967959530012	0	0
ENSMUSG00000026116	11682.5861383935	11177.3361817515	11268.6667269673
ENSMUSG00000103016	5.62419898825029	2.14084201910582	0
