orth_id	hESC_rep1	hESC_rep2	hESC_rep3	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000090432__ENSMUSG00000041241	2258	2457	1954	519	487	479
ENSG00000183114__ENSMUSG00000078235	39	57	34	1	2	1
ENSG00000158825__ENSMUSG00000028755	412	359	236	0	1	0
ENSG00000158828__ENSMUSG00000028756	620	515	393	427	560	624
ENSG00000244038__ENSMUSG00000028757	20314	21344	18168	4609	4331	4665
ENSG00000117245__ENSMUSG00000028758	985	1096	659	8	6	18
ENSG00000189410__ENSMUSG00000045349	1591	1121	1159	20	20	38
ENSG00000127483__ENSMUSG00000028759	3469	3419	5666	974	953	1126
ENSG00000075151__ENSMUSG00000028760	5359	3192	8829	1512	2011	2092
ENSG00000117298__ENSMUSG00000057530	5236	5685	4811	722	704	923
ENSG00000162551__ENSMUSG00000028766	11858	14022	11364	9724	8901	9844
ENSG00000076864__ENSMUSG00000041351	855	892	656	301	388	468
ENSG00000090686__ENSMUSG00000043411	3353	1919	6631	7714	8411	10551
ENSG00000142798__ENSMUSG00000028763	8928	9036	7257	8341	7910	9622
ENSG00000070831__ENSMUSG00000006699	12680	11129	14706	6593	6365	7125
ENSG00000162552__ENSMUSG00000036856	31	26	20	1	3	0
ENSG00000184677__ENSMUSG00000060862	2638	2264	3026	382	361	452
ENSG00000070886__ENSMUSG00000028661	326	313	234	0	1	0
ENSG00000173372__ENSMUSG00000036887	0	0	1	0	0	0
ENSG00000159189__ENSMUSG00000036896	0	0	0	0	0	0
ENSG00000173369__ENSMUSG00000036905	1	1	0	0	0	1
ENSG00000133216__ENSMUSG00000028664	1489	1368	998	286	235	352
ENSG00000215906__ENSMUSG00000070683	0	1	0	0	0	0
ENSG00000227868__ENSMUSG00000036921	1	1	2	0	0	0
ENSG00000004487__ENSMUSG00000036940	22041	22676	20108	4886	5397	5539
ENSG00000169641__ENSMUSG00000001089	7131	6453	6882	1908	2142	2198
ENSG00000125944__ENSMUSG00000066037	11019	7755	19370	1257	1488	1369
ENSG00000125945__ENSMUSG00000051351	139	128	145	184	179	170
ENSG00000204219__ENSMUSG00000001604	6	15	10	483	576	524
ENSG00000088280__ENSMUSG00000036995	4996	4391	3014	426	417	405
ENSG00000007968__ENSMUSG00000018983	393	414	301	149	197	159
ENSG00000117318__ENSMUSG00000007872	8469	9217	6474	57	44	10
ENSG00000142676__ENSMUSG00000059291	60269	62959	58566	16521	16304	18370
ENSG00000011007__ENSMUSG00000028668	5429	6637	7225	847	878	828
ENSG00000057757__ENSMUSG00000028669	4168	5051	4326	861	765	875
ENSG00000011009__ENSMUSG00000028670	9714	10137	8043	829	723	639
ENSG00000117308__ENSMUSG00000028671	1378	1343	982	364	336	311
