index	gene_id	gene_name
M06073_1	ENSG00000186350	RXRA
M06074_1	ENSG00000204231	RXRB
M06075_1	ENSG00000143171	RXRG
M06076_1	ENSG00000143171	RXRG
M06077_1	ENSG00000143171	RXRG
M06078_1	ENSG00000143171	RXRG
M06079_1	ENSG00000261678	SCRT1
M06080_1	ENSG00000215397	SCRT2
M06081_1	ENSG00000185960	SHOX
M06082_1	ENSG00000168779	SHOX2
M06083_1	ENSG00000166949	SMAD3
M06084_1	ENSG00000019549	SNAI2
M06085_1	ENSG00000100146	SOX10
M06086_1	ENSG00000100146	SOX10
M06087_1	ENSG00000100146	SOX10
M06088_1	ENSG00000100146	SOX10
M06089_1	ENSG00000100146	SOX10
M06090_1	ENSG00000168875	SOX14
M06091_1	ENSG00000168875	SOX14
M06092_1	ENSG00000168875	SOX14
M06093_1	ENSG00000129194	SOX15
M06094_1	ENSG00000129194	SOX15
M06095_1	ENSG00000129194	SOX15
M06096_1	ENSG00000203883	SOX18
M06097_1	ENSG00000203883	SOX18
M06098_1	ENSG00000203883	SOX18
M06099_1	ENSG00000181449	SOX2
M06100_1	ENSG00000125285	SOX21
M06101_1	ENSG00000125285	SOX21
M06102_1	ENSG00000125285	SOX21
M06103_1	ENSG00000125285	SOX21
M06104_1	ENSG00000181449	SOX2
M06105_1	ENSG00000181449	SOX2
M06106_1	ENSG00000181449	SOX2
M06107_1	ENSG00000181449	SOX2
M06108_1	ENSG00000181449	SOX2
M06109_1	ENSG00000124766	SOX4
M06110_1	ENSG00000171056	SOX7
M06111_1	ENSG00000171056	SOX7
M06112_1	ENSG00000171056	SOX7
M06113_1	ENSG00000005513	SOX8
M06114_1	ENSG00000005513	SOX8
M06115_1	ENSG00000005513	SOX8
M06116_1	ENSG00000005513	SOX8
M06117_1	ENSG00000005513	SOX8
M06118_1	ENSG00000005513	SOX8
M06119_1	ENSG00000005513	SOX8
M06120_1	ENSG00000005513	SOX8
M06121_1	ENSG00000125398	SOX9
M06122_1	ENSG00000125398	SOX9
M06123_1	ENSG00000125398	SOX9
M06124_1	ENSG00000125398	SOX9
M06125_1	ENSG00000125398	SOX9
M06126_1	ENSG00000125398	SOX9
M06127_1	ENSG00000125398	SOX9
M06128_1	ENSG00000185591	SP1
M06129_1	ENSG00000172845	SP3
M06130_1	ENSG00000105866	SP4
M06131_1	ENSG00000164651	SP8
M06132_1	ENSG00000124664	SPDEF
M06133_1	ENSG00000124664	SPDEF
M06134_1	ENSG00000124664	SPDEF
M06135_1	ENSG00000124664	SPDEF
M06136_1	ENSG00000124664	SPDEF
M06137_1	ENSG00000124664	SPDEF
M06138_1	ENSG00000066336	SPI1
M06139_1	ENSG00000269404	SPIB
M06140_1	ENSG00000166211	SPIC
M06141_1	ENSG00000198911	SREBF2
M06142_1	ENSG00000112658	SRF
M06143_1	ENSG00000112658	SRF
M06144_1	ENSG00000184895	SRY
M06145_1	ENSG00000184895	SRY
M06146_1	ENSG00000184895	SRY
M06147_1	ENSG00000184895	SRY
M06148_1	ENSG00000136535	TBR1
M06149_1	ENSG00000136535	TBR1
M06150_1	ENSG00000184058	TBX1
M06151_1	ENSG00000184058	TBX1
M06152_1	ENSG00000184058	TBX1
M06153_1	ENSG00000184058	TBX1
M06154_1	ENSG00000184058	TBX1
M06155_1	ENSG00000092607	TBX15
M06156_1	ENSG00000092607	TBX15
M06157_1	ENSG00000143178	TBX19
M06158_1	ENSG00000164532	TBX20
