gene_id	rep1	rep2	rep3
ENSMUSG00000053640	0	0	0
ENSMUSG00000101919	0	0	0
ENSMUSG00000101299	0	0	0
ENSMUSG00000100180	0	0	0
ENSMUSG00000103106	0	0	0
ENSMUSG00000060424	1	4	4
ENSMUSG00000104199	0	0	0
ENSMUSG00000093436	1	0	0
ENSMUSG00000045515	49	45	74
ENSMUSG00000097063	1	0	2
ENSMUSG00000099784	1	0	0
ENSMUSG00000060679	3238	3278	4340
ENSMUSG00000077448	1	2	0
ENSMUSG00000041907	6	15	23
ENSMUSG00000089088	0	0	0
ENSMUSG00000070939	1012	1009	1336
ENSMUSG00000100269	1	0	0
ENSMUSG00000041878	8	0	0
ENSMUSG00000010290	2402	2482	2963
ENSMUSG00000008136	12	8	14
ENSMUSG00000094497	0	0	0
ENSMUSG00000099576	4	2	6
ENSMUSG00000099694	1	1	4
ENSMUSG00000101923	0	0	0
ENSMUSG00000066877	742	873	1099
ENSMUSG00000103422	5	11	7
ENSMUSG00000103945	37	43	71
ENSMUSG00000026051	2	5	0
ENSMUSG00000100764	0	1	1
ENSMUSG00000100635	2	0	0
ENSMUSG00000100480	2	5	5
ENSMUSG00000057363	2316	2420	3032
ENSMUSG00000090243	6	14	16
ENSMUSG00000100701	17	8	24
ENSMUSG00000101395	2	0	0
ENSMUSG00000088848	0	0	0
ENSMUSG00000095757	0	0	0
ENSMUSG00000041763	8555	8618	10838
ENSMUSG00000047343	6	3	10
ENSMUSG00000090106	0	0	0
ENSMUSG00000091844	4	4	19
ENSMUSG00000026049	1077	1167	1511
ENSMUSG00000101104	0	0	0
ENSMUSG00000026047	1401	1320	1799
ENSMUSG00000041684	1413	1406	1771
ENSMUSG00000026048	2413	2467	3213
ENSMUSG00000046828	1	0	4
ENSMUSG00000089703	0	0	1
ENSMUSG00000100966	0	0	0
ENSMUSG00000100769	6	12	10
ENSMUSG00000101567	14	18	21
ENSMUSG00000056870	301	326	425
ENSMUSG00000102319	0	0	3
ENSMUSG00000089877	0	1	0
ENSMUSG00000101701	0	2	0
ENSMUSG00000103071	63	67	98
ENSMUSG00000100434	1	0	1
