orth_id	hESC_rep1	hESC_rep2	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000174950__ENSMUSG00000028865	29	28	64	77	125
ENSG00000181773__ENSMUSG00000049649	588	519	12	2	14
ENSG00000158195__ENSMUSG00000028868	9164	8159	9593	10111	12935
ENSG00000126705__ENSMUSG00000037692	3803	3341	6537	6665	8938
ENSG00000000938__ENSMUSG00000028874	13	20	60	55	95
ENSG00000009780__ENSMUSG00000028878	746	596	2949	3066	3970
ENSG00000117758__ENSMUSG00000028879	1041	923	3335	3326	4359
ENSG00000117751__ENSMUSG00000028882	3120	2041	5977	6608	8176
ENSG00000130775__ENSMUSG00000037731	456	387	20	21	31
ENSG00000117748__ENSMUSG00000028884	4631	3024	7835	8324	10926
ENSG00000130768__ENSMUSG00000028885	2025	998	1420	1504	2118
ENSG00000158156__ENSMUSG00000037752	1046	779	886	1063	1286
ENSG00000158161__ENSMUSG00000028886	3704	2491	8378	8892	11817
ENSG00000169403__ENSMUSG00000056529	168	103	6	7	5
ENSG00000126698__ENSMUSG00000054405	7435	5617	12574	13469	16786
ENSG00000130770__ENSMUSG00000054428	5739	4370	4063	4487	5665
ENSG00000130766__ENSMUSG00000028893	1873	1397	12601	13886	17736
ENSG00000130772__ENSMUSG00000066042	595	652	1319	1403	1710
ENSG00000204138__ENSMUSG00000066043	5752	4607	2301	2440	3294
ENSG00000180198__ENSMUSG00000028896	6802	4190	9349	10440	13281
ENSG00000180098__ENSMUSG00000028898	1087	722	1340	1541	2022
ENSG00000120656__ENSMUSG00000028899	1148	954	1927	2020	2668
ENSG00000188060__ENSMUSG00000089687	356	318	38	42	32
ENSG00000162419__ENSMUSG00000028901	1911	1565	3021	3115	4109
ENSG00000198492__ENSMUSG00000040025	12290	8851	8129	8615	11190
ENSG00000116329__ENSMUSG00000050511	216	184	0	4	6
ENSG00000159023__ENSMUSG00000028906	8416	6337	3616	3961	4976
ENSG00000253304__ENSMUSG00000070720	298	260	10	10	22
ENSG00000116350__ENSMUSG00000028911	5307	4528	1400	1438	1917
ENSG00000116353__ENSMUSG00000028910	1082	859	653	761	911
ENSG00000060656__ENSMUSG00000028909	2257	2248	182	255	269
ENSG00000162510__ENSMUSG00000040533	3	10	31	27	52
ENSG00000162511__ENSMUSG00000028581	26	44	14268	15009	19906
ENSG00000162512__ENSMUSG00000025743	5363	6374	422	434	491
ENSG00000134644__ENSMUSG00000028580	10357	7957	15753	16320	21469
ENSG00000084628__ENSMUSG00000078532	3535	2748	1157	1161	1510
ENSG00000060688__ENSMUSG00000074088	5271	3306	6839	7327	9690
ENSG00000121766__ENSMUSG00000028772	2135	1586	1525	1595	1996
ENSG00000121769__ENSMUSG00000028773	798	521	7016	7257	9435
ENSG00000168528__ENSMUSG00000023232	1017	1099	95	83	148
ENSG00000142910__ENSMUSG00000028776	198	136	24	46	33
ENSG00000121764__ENSMUSG00000028778	8	9	0	0	0
ENSG00000162517__ENSMUSG00000028779	2125	1438	1304	1384	1838
ENSG00000084636__ENSMUSG00000040690	449	298	11	11	10
ENSG00000121753__ENSMUSG00000028782	1511	1346	58	75	105
ENSG00000134668__ENSMUSG00000028784	55	60	0	1	0
ENSG00000184007__ENSMUSG00000028788	11242	9043	13966	14551	19032
ENSG00000121774__ENSMUSG00000028790	23938	20020	13542	14356	18098
ENSG00000121775__ENSMUSG00000053730	1428	1079	941	1056	1297
ENSG00000025800__ENSMUSG00000003731	8222	5801	8655	8919	11834
ENSG00000084652__ENSMUSG00000053841	6622	4267	8206	8977	11472
ENSG00000160050__ENSMUSG00000028795	460	402	359	370	462
ENSG00000160051__ENSMUSG00000040795	236	159	806	953	1223
ENSG00000222046__ENSMUSG00000078552	12	26	17	21	17
ENSG00000160055__ENSMUSG00000028797	296	170	3603	4210	4923
ENSG00000084623__ENSMUSG00000028798	12338	8757	11630	12279	16108
ENSG00000183615__ENSMUSG00000050493	41	39	2	0	2
ENSG00000182866__ENSMUSG00000000409	1842	1309	922	1058	1374
ENSG00000116478__ENSMUSG00000028800	6351	4990	14610	15359	20565
ENSG00000175130__ENSMUSG00000047945	37251	27822	12036	12890	16902
ENSG00000162526__ENSMUSG00000000411	12	9	2	4	1
ENSG00000225828__ENSMUSG00000078554	76	64	0	0	2
ENSG00000160058__ENSMUSG00000040859	2616	1830	2868	2939	3984
ENSG00000254553__ENSMUSG00000048485	0	0	331	374	449
ENSG00000273274__ENSMUSG00000048485	510	387	331	374	449
ENSG00000160062__ENSMUSG00000028807	982	822	3240	3703	4366
ENSG00000176261__ENSMUSG00000057572	1383	1109	1626	1557	2013
ENSG00000162520__ENSMUSG00000001333	2	1	116	128	135
ENSG00000162522__ENSMUSG00000050390	6829	5459	8823	8847	12153
ENSG00000134684__ENSMUSG00000028811	12669	8564	8623	9592	12230
ENSG00000116497__ENSMUSG00000040928	3013	2152	6648	6620	8543
ENSG00000160097__ENSMUSG00000001334	238	233	8	2	4
ENSG00000121905__ENSMUSG00000028785	16	19	20	18	16
ENSG00000121900__ENSMUSG00000028786	120	111	0	0	0
ENSG00000116514__ENSMUSG00000028793	971	733	3230	3310	4490
ENSG00000004455__ENSMUSG00000028792	5047	3399	11477	12459	15829
ENSG00000142920__ENSMUSG00000028789	64	59	591	569	779
ENSG00000116525__ENSMUSG00000041000	802	916	334	323	470
ENSG00000160094__ENSMUSG00000028799	1486	1401	242	277	315
ENSG00000184389__ENSMUSG00000028794	0	0	3	2	4
ENSG00000134686__ENSMUSG00000028796	3386	3175	948	1063	1344
ENSG00000121903__ENSMUSG00000061894	300	217	729	828	1009
ENSG00000121904__ENSMUSG00000028804	1404	959	12	12	12
